[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.000488635 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.8109e+14, L₂ = 8.53185e+14 (over 4096 cells)
Gravity is DISABLED, G: 6.67e-08
CFL=0.5, sound_crossings=409.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 1.0947e+14
HDF5 file written to: agoge_init.h5
Step=636, time=5.31182e+12/1.0947e+14, dt=8.35191e+09
Step=638, time=5.32852e+12/1.0947e+14, dt=8.35191e+09
Step=640, time=5.34522e+12/1.0947e+14, dt=8.35191e+09
Step=642, time=5.36193e+12/1.0947e+14, dt=8.35191e+09
Step=644, time=5.37863e+12/1.0947e+14, dt=8.35191e+09
Step=646, time=5.39534e+12/1.0947e+14, dt=8.35191e+09
Step=648, time=5.41204e+12/1.0947e+14, dt=8.35191e+09
Step=650, time=5.42874e+12/1.0947e+14, dt=8.35191e+09
Step=652, time=5.44545e+12/1.0947e+14, dt=8.35191e+09
Step=654, time=5.46215e+12/1.0947e+14, dt=8.35191e+09
Step=656, time=5.47886e+12/1.0947e+14, dt=8.35191e+09
Step=658, time=5.49556e+12/1.0947e+14, dt=8.35191e+09
Step=660, time=5.51226e+12/1.0947e+14, dt=8.35191e+09
Step=662, time=5.52897e+12/1.0947e+14, dt=8.35191e+09
Step=664, time=5.54567e+12/1.0947e+14, dt=8.35191e+09
Step=666, time=5.56237e+12/1.0947e+14, dt=8.35191e+09
Step=668, time=5.57908e+12/1.0947e+14, dt=8.35191e+09
Step=670, time=5.59578e+12/1.0947e+14, dt=8.35191e+09
Step=672, time=5.61249e+12/1.0947e+14, dt=8.35191e+09
Step=674, time=5.62919e+12/1.0947e+14, dt=8.35191e+09
Step=676, time=5.64589e+12/1.0947e+14, dt=8.35191e+09
Step=678, time=5.6626e+12/1.0947e+14, dt=8.35191e+09
Step=680, time=5.6793e+12/1.0947e+14, dt=8.35191e+09
Step=682, time=5.69601e+12/1.0947e+14, dt=8.35191e+09
Step=684, time=5.71271e+12/1.0947e+14, dt=8.35191e+09
Step=686, time=5.72941e+12/1.0947e+14, dt=8.35191e+09
Step=688, time=5.74612e+12/1.0947e+14, dt=8.35191e+09
Step=690, time=5.76282e+12/1.0947e+14, dt=8.35191e+09
Step=692, time=5.77952e+12/1.0947e+14, dt=8.35191e+09
Step=694, time=5.79623e+12/1.0947e+14, dt=8.35191e+09
Step=696, time=5.81293e+12/1.0947e+14, dt=8.35191e+09
Step=698, time=5.82964e+12/1.0947e+14, dt=8.35191e+09
Step=700, time=5.84634e+12/1.0947e+14, dt=8.35191e+09
Step=702, time=5.86304e+12/1.0947e+14, dt=8.35191e+09
Step=704, time=5.87975e+12/1.0947e+14, dt=8.35191e+09
Step=706, time=5.89645e+12/1.0947e+14, dt=8.35191e+09
Step=708, time=5.91315e+12/1.0947e+14, dt=8.35191e+09
Step=710, time=5.92986e+12/1.0947e+14, dt=8.35191e+09
Step=712, time=5.94656e+12/1.0947e+14, dt=8.35191e+09
Step=714, time=5.96327e+12/1.0947e+14, dt=8.35191e+09
Step=716, time=5.97997e+12/1.0947e+14, dt=8.35191e+09
Step=718, time=5.99667e+12/1.0947e+14, dt=8.35191e+09
Step=720, time=6.01338e+12/1.0947e+14, dt=8.35191e+09
Step=722, time=6.03008e+12/1.0947e+14, dt=8.35191e+09
Step=724, time=6.04679e+12/1.0947e+14, dt=8.35191e+09
Step=726, time=6.06349e+12/1.0947e+14, dt=8.35191e+09
Step=728, time=6.08019e+12/1.0947e+14, dt=8.35191e+09
Step=730, time=6.0969e+12/1.0947e+14, dt=8.35191e+09
Step=732, time=6.1136e+12/1.0947e+14, dt=8.35191e+09
Step=734, time=6.1303e+12/1.0947e+14, dt=8.35191e+09
Step=736, time=6.14701e+12/1.0947e+14, dt=8.35191e+09
Step=738, time=6.16371e+12/1.0947e+14, dt=8.35191e+09
Step=740, time=6.18042e+12/1.0947e+14, dt=8.35191e+09
Step=742, time=6.19712e+12/1.0947e+14, dt=8.35191e+09
Step=744, time=6.21382e+12/1.0947e+14, dt=8.35191e+09
Step=746, time=6.23053e+12/1.0947e+14, dt=8.35191e+09
Step=748, time=6.24723e+12/1.0947e+14, dt=8.35191e+09
Step=750, time=6.26394e+12/1.0947e+14, dt=8.35191e+09
Step=752, time=6.28064e+12/1.0947e+14, dt=8.35191e+09
Step=754, time=6.29734e+12/1.0947e+14, dt=8.35191e+09
Step=756, time=6.31405e+12/1.0947e+14, dt=8.35191e+09
Step=758, time=6.33075e+12/1.0947e+14, dt=8.35191e+09
Step=760, time=6.34745e+12/1.0947e+14, dt=8.35191e+09
Step=762, time=6.36416e+12/1.0947e+14, dt=8.35191e+09
Step=764, time=6.38086e+12/1.0947e+14, dt=8.35191e+09
Step=766, time=6.39757e+12/1.0947e+14, dt=8.35191e+09
