[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.00411742 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.80964e+14, L₂ = 8.53107e+14 (over 32768 cells)
Gravity is ENABLED, G: 6.67e-08
CFL=0.5, sound_crossings=25.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 6.84189e+12
HDF5 file written to: agoge_init.h5
Step=506, time=2.11303e+12/6.84189e+12, dt=4.17596e+09
Step=508, time=2.12139e+12/6.84189e+12, dt=4.17596e+09
Step=510, time=2.12974e+12/6.84189e+12, dt=4.17596e+09
Step=512, time=2.13809e+12/6.84189e+12, dt=4.17596e+09
Step=514, time=2.14644e+12/6.84189e+12, dt=4.17596e+09
Step=516, time=2.15479e+12/6.84189e+12, dt=4.17596e+09
Step=518, time=2.16315e+12/6.84189e+12, dt=4.17596e+09
Step=520, time=2.1715e+12/6.84189e+12, dt=4.17596e+09
Step=522, time=2.17985e+12/6.84189e+12, dt=4.17596e+09
Step=524, time=2.1882e+12/6.84189e+12, dt=4.17596e+09
Step=526, time=2.19655e+12/6.84189e+12, dt=4.17596e+09
Step=528, time=2.20491e+12/6.84189e+12, dt=4.17596e+09
Step=530, time=2.21326e+12/6.84189e+12, dt=4.17596e+09
Step=532, time=2.22161e+12/6.84189e+12, dt=4.17596e+09
Step=534, time=2.22996e+12/6.84189e+12, dt=4.17596e+09
Step=536, time=2.23831e+12/6.84189e+12, dt=4.17596e+09
Step=538, time=2.24666e+12/6.84189e+12, dt=4.17596e+09
Step=540, time=2.25502e+12/6.84189e+12, dt=4.17596e+09
Step=542, time=2.26337e+12/6.84189e+12, dt=4.17596e+09
Step=544, time=2.27172e+12/6.84189e+12, dt=4.17596e+09
Step=546, time=2.28007e+12/6.84189e+12, dt=4.17596e+09
Step=548, time=2.28842e+12/6.84189e+12, dt=4.17596e+09
Step=550, time=2.29678e+12/6.84189e+12, dt=4.17596e+09
Step=552, time=2.30513e+12/6.84189e+12, dt=4.17596e+09
Step=554, time=2.31348e+12/6.84189e+12, dt=4.17596e+09
Step=556, time=2.32183e+12/6.84189e+12, dt=4.17596e+09
Step=558, time=2.33018e+12/6.84189e+12, dt=4.17596e+09
Step=560, time=2.33854e+12/6.84189e+12, dt=4.17596e+09
Step=562, time=2.34689e+12/6.84189e+12, dt=4.17596e+09
Step=564, time=2.35524e+12/6.84189e+12, dt=4.17596e+09
Step=566, time=2.36359e+12/6.84189e+12, dt=4.17596e+09
Step=568, time=2.37194e+12/6.84189e+12, dt=4.17596e+09
Step=570, time=2.3803e+12/6.84189e+12, dt=4.17596e+09
Step=572, time=2.38865e+12/6.84189e+12, dt=4.17596e+09
Step=574, time=2.397e+12/6.84189e+12, dt=4.17596e+09
Step=576, time=2.40535e+12/6.84189e+12, dt=4.17596e+09
Step=578, time=2.4137e+12/6.84189e+12, dt=4.17596e+09
Step=580, time=2.42206e+12/6.84189e+12, dt=4.17596e+09
Step=582, time=2.43041e+12/6.84189e+12, dt=4.17596e+09
Step=584, time=2.43876e+12/6.84189e+12, dt=4.17596e+09
Step=586, time=2.44711e+12/6.84189e+12, dt=4.17596e+09
